"Product","Mean","Median","Date"
"Women's hair'",15.09701,14,"1997-10-01"
"Women's hair'",15.04828,14,"1997-11-01"
"Hardback book",15.56917,15.99,"1997-11-01"
"Oil",4.074567,3.99,"1997-11-01"
".",2.938823,2.8,"1997-11-01"
"Men's hair'",7.609191,6,"1997-11-01"
"Softback book",6.875246,6.99,"1997-11-01"
"Softback book",6.805126,6.99,"1997-12-01"
".",2.916387,2.8,"1997-12-01"
"Hardback book",15.42398,14.99,"1997-12-01"
"Oil",4.089569,3.99,"1997-12-01"
"Women's hair'",15.17376,14.3,"1997-12-01"
"Men's hair'",7.599088,6,"1997-12-01"
"Oil",4.111996,3.99,"1998-01-01"
"Hardback book",16.71525,16.99,"1998-01-01"
"Women's hair'",15.25,14.25,"1998-01-01"
"Softback book",6.788165,6.99,"1998-01-01"
".",2.964103,2.8,"1998-01-01"
"Men's hair'",7.605273,6,"1998-01-01"
"Hardback book",16.64521,16.99,"1998-02-01"
"Softback book",6.561518,6.99,"1998-02-01"
"Oil",4.184027,4.09,"1998-02-01"
".",2.963306,2.775,"1998-02-01"
"Women's hair'",15.29142,14.5,"1998-02-01"
"Men's hair'",7.325355,6.25,"1998-02-01"
"Women's hair'",15.40818,14.5,"1998-03-01"
".",2.965748,2.8,"1998-03-01"
"Oil",4.154932,4.09,"1998-03-01"
"Softback book",6.75479,6.99,"1998-03-01"
"Hardback book",16.05097,15.99,"1998-03-01"
"Men's hair'",7.581228,6.3,"1998-03-01"
"Softback book",6.812742,6.99,"1998-04-01"
".",2.98136,2.8,"1998-04-01"
"Hardback book",14.90117,14.99,"1998-04-01"
"Men's hair'",7.644542,6.5,"1998-04-01"
"Oil",4.216274,4.145,"1998-04-01"
"Women's hair'",15.5626,14.95,"1998-04-01"
"Oil",4.202067,4.09,"1998-05-01"
"Hardback book",16.21365,16.49,"1998-05-01"
"Women's hair'",15.63601,15,"1998-05-01"
".",2.997742,2.825,"1998-05-01"
"Softback book",6.913898,6.99,"1998-05-01"
"Men's hair'",7.712632,6.5,"1998-05-01"
".",3.028618,2.9,"1998-06-01"
"Oil",4.279868,4.25,"1998-06-01"
"Men's hair'",7.724475,6.5,"1998-06-01"
"Hardback book",15.74582,14.99,"1998-06-01"
"Women's hair'",15.58956,15,"1998-06-01"
"Softback book",6.813305,6.99,"1998-06-01"
"Women's hair'",15.64316,15,"1998-07-01"
"Men's hair'",7.816078,6.5,"1998-07-01"
"Hardback book",15.86026,16.99,"1998-07-01"
"Softback book",6.776967,6.99,"1998-07-01"
".",3.057667,2.95,"1998-07-01"
"Oil",4.348081,4.25,"1998-07-01"
"Men's hair'",7.871763,6.5,"1998-08-01"
"Women's hair'",15.87396,15,"1998-08-01"
"Hardback book",16.86486,16.99,"1998-08-01"
".",3.050976,2.95,"1998-08-01"
"Softback book",6.839285,6.99,"1998-08-01"
"Oil",4.395655,4.29,"1998-08-01"
".",3.030082,2.9,"1998-09-01"
"Hardback book",17.01636,16.99,"1998-09-01"
"Oil",4.427485,4.49,"1998-09-01"
"Softback book",6.836774,6.99,"1998-09-01"
"Men's hair'",7.929928,6.5,"1998-09-01"
"Women's hair'",16.02267,15,"1998-09-01"
"Softback book",6.817951,6.99,"1998-10-01"
"Hardback book",16.58458,15.99,"1998-10-01"
"Oil",4.45364,4.49,"1998-10-01"
".",3.057886,2.95,"1998-10-01"
"Women's hair'",16.05106,15,"1998-10-01"
"Men's hair'",7.946196,6.5,"1998-10-01"
"Softback book",6.713154,6.99,"1998-11-01"
"Women's hair'",16.1423,15,"1998-11-01"
".",3.053701,2.95,"1998-11-01"
"Hardback book",16.28008,16,"1998-11-01"
"Men's hair'",8.04359,6.5,"1998-11-01"
"Oil",4.480174,4.49,"1998-11-01"
"Hardback book",15.56573,15.995,"1998-12-01"
"Softback book",6.610968,6.99,"1998-12-01"
".",3.004921,2.925,"1998-12-01"
"Women's hair'",16.16246,15,"1998-12-01"
"Oil",4.477688,4.49,"1998-12-01"
"Men's hair'",7.959206,6.5,"1998-12-01"
"Men's hair'",8.439719,6.5,"1999-01-01"
"Softback book",7.304286,6.99,"1999-01-01"
"Hardback book",16.34561,16.99,"1999-01-01"
".",3.173402,3,"1999-01-01"
"Women's hair'",16.30043,15,"1999-01-01"
"Oil",4.531605,4.49,"1999-01-01"
"Kerosene",100.5586,99.75,"1999-02-01"
".",3.11062,3,"1999-02-01"
"Hardback book",16.65083,16.99,"1999-02-01"
"Men's hair'",8.345161,6.5,"1999-02-01"
"Women's hair'",16.10577,15,"1999-02-01"
"Oil",4.535651,4.49,"1999-02-01"
"Softback book",6.917758,6.99,"1999-02-01"
"Kerosene",108.9286,105,"1999-03-01"
"Men's hair'",8.325899,6.5,"1999-03-01"
"Oil",4.565875,4.49,"1999-03-01"
"Women's hair'",16.1021,15,"1999-03-01"
"Hardback book",16.50357,16.99,"1999-03-01"
".",3.108294,3,"1999-03-01"
"Softback book",7.091176,6.99,"1999-03-01"
"Hardback book",15.67492,15.99,"1999-04-01"
"Kerosene",116.2351,115.27,"1999-04-01"
"Men's hair'",8.365396,6.5,"1999-04-01"
"Oil",4.54522,4.49,"1999-04-01"
"Women's hair'",16.50412,15,"1999-04-01"
".",3.112366,3,"1999-04-01"
"Softback book",7.1904,6.99,"1999-04-01"
"Kerosene",116.7157,115.5,"1999-05-01"
"Men's hair'",8.396618,6.5,"1999-05-01"
"Hardback book",15.25576,14.99,"1999-05-01"
"Women's hair'",16.60542,15.25,"1999-05-01"
"Softback book",7.261811,6.99,"1999-05-01"
"Oil",4.563959,4.49,"1999-05-01"
".",3.099231,3,"1999-05-01"
"Softback book",7.35127,6.99,"1999-06-01"
"Hardback book",15.37736,14.99,"1999-06-01"
".",3.097308,3,"1999-06-01"
"Women's hair'",16.88556,15.7,"1999-06-01"
"Kerosene",115.6681,114.98,"1999-06-01"
"Oil",4.566035,4.59,"1999-06-01"
"Men's hair'",8.575018,6.7,"1999-06-01"
"Hardback book",15.37135,14.99,"1999-07-01"
"Kerosene",130.7769,130.31,"1999-07-01"
".",3.114615,3,"1999-07-01"
"Softback book",7.571463,6.99,"1999-07-01"
"Men's hair'",8.66118,6.9,"1999-07-01"
"Oil",4.570611,4.69,"1999-07-01"
"Women's hair'",16.85838,15.75,"1999-07-01"
"Men's hair'",8.701218,6.9,"1999-08-01"
"Hardback book",14.8509,14.99,"1999-08-01"
"Oil",4.608613,4.69,"1999-08-01"
"Kerosene",132.618,132.3,"1999-08-01"
"Softback book",7.785126,6.99,"1999-08-01"
".",3.136641,3,"1999-08-01"
"Women's hair'",16.88729,15.8,"1999-08-01"
"Oil",4.63787,4.69,"1999-09-01"
"Hardback book",14.49422,14.99,"1999-09-01"
"Softback book",7.843813,6.99,"1999-09-01"
"Kerosene",147.1398,146.48,"1999-09-01"
"Men's hair'",8.711423,6.975,"1999-09-01"
".",3.139535,3,"1999-09-01"
"Women's hair'",16.99419,15.95,"1999-09-01"
"Men's hair'",8.849463,7,"1999-10-01"
"Oil",4.628265,4.69,"1999-10-01"
"Hardback book",14.90414,13.99,"1999-10-01"
"Women's hair'",17.2529,15.95,"1999-10-01"
"Softback book",7.73175,6.99,"1999-10-01"
"Kerosene",146.5264,145.975,"1999-10-01"
".",3.158984,3,"1999-10-01"
"Kerosene",154.1866,153.83,"1999-11-01"
"Softback book",7.54,6.99,"1999-11-01"
"Men's hair'",8.912428,7,"1999-11-01"
"Hardback book",14.6378,13.99,"1999-11-01"
"Oil",4.628834,4.69,"1999-11-01"
"Women's hair'",17.34452,15.95,"1999-11-01"
".",3.163954,3,"1999-11-01"
".",3.171538,3,"1999-12-01"
"Kerosene",186.2105,184.9,"1999-12-01"
"Hardback book",14.29769,13.99,"1999-12-01"
"Women's hair'",17.67664,16,"1999-12-01"
"Oil",4.625164,4.69,"1999-12-01"
"Men's hair'",8.916064,7,"1999-12-01"
"Softback book",7.529062,6.99,"1999-12-01"
"Hardback book",15.21448,13.99,"2000-01-01"
